scenario,cps,cps_name,pid,impacted_pids,linear_length_m,buffer_area_ha,portion_treated,wetland_area_ha,catchment_to_wetland_ratio,cost_usd,treated_TN,removed_TN,treated_TP,removed_TP
2,590,Nutrient Management,1593,,,,,,,645.1550567744032,314.6704658813362,45.059243738090885,65.07643491145295,31.77531962607007
2,329,Residue Management (No-Till),1637,,,,,,,1130.5473800129294,862.9059031285027,192.1023105192549,8.905345420196753,2.2635350263495346
2,412,Grassed Waterway,998,,524.0871944622581,0.5590962190523371,0.3340715731293893,,,48.489760011168265,263.54203187903124,33.66474434513872,3.1769635721258416,0.24239913344873262
2,590,Nutrient Management,1697,,,,,,,1080.650464720509,223.77797552839797,11.401024876416443,27.22899571869353,3.724897836565307
2,590,Nutrient Management,2522,,,,,,,1411.9127476814833,2086.903256274389,539.2066655875362,20.255151815792743,3.7953255210232206
2,329,Residue Management (No-Till),1300,,,,,,,1663.2856347909574,756.3220860117984,177.02840757230885,243.16308804427163,91.7822844014764
2,412,Grassed Waterway,437,,296.1817687922167,0.3159667109475368,0.2750626671561933,,,41.443157635973286,106.63713358108483,22.726640327010635,16.638218870372377,2.350346450476354
2,412,Grassed Waterway,974,,714.9283256318373,0.7626855377840441,0.3418262720311825,,,68.03843484528879,361.2988456451786,20.77147406563013,36.698676583304554,9.46130166280801
2,412,Grassed Waterway,1309,,188.9004504303834,0.20151900051913302,0.31258787299458446,,,14.18363409194859,166.41877376880964,30.363123300997934,5.349420676942086,0.701333242773097
2,412,Grassed Waterway,439,,371.6120971461376,0.39643578523549966,0.31595576472341624,,,28.075800741006386,64.85490650137723,13.04837300704247,40.95047920362234,4.491483991851719
2,590,Nutrient Management,748,,,,,,,2151.821476208671,616.5895458353658,58.2658716142443,14.673202472771852,2.471333487609383
2,590,Nutrient Management,1291,,,,,,,253.38224213930866,146.38143431234022,66.43932279931236,3.2478708000737955,0.8017441861913056
2,329,Residue Management (No-Till),1324,,,,,,,6694.732637186755,997.3180994657217,163.95709138685186,24.068817831013888,11.507028008213164
2,340,Cover Crop,778,,,,,,,9373.509707189123,1170.4575821234375,130.50344473140728,4.097330290174492,1.8064084564828262
2,412,Grassed Waterway,431,,289.4011486161043,0.3087331453436601,0.3368916446332003,,,26.58967842464619,148.5080065485807,14.25258978887389,1.514010096456246,0.20228380801983548
2,590,Nutrient Management,523,,,,,,,1086.3612387372723,381.3721345862754,44.43687144128157,33.189579773826566,6.20664708764919
2,340,Cover Crop,1745,,,,,,,8790.042104500015,165.85480342261067,28.91672089445729,34.880860820683246,3.3313453279496743
2,590,Nutrient Management,88,,,,,,,4185.731688770966,1645.651484543442,736.4884686645811,1.3518608617618495,0.21007691518500388
2,590,Nutrient Management,1024,,,,,,,337.1969739122875,274.989113445621,30.88525550830538,10.267492899831076,1.212889369805612
2,590,Nutrient Management,1505,,,,,,,1370.9545629695833,938.0958069307861,102.04326224616318,230.5084702298874,59.39431428053035
2,412,Grassed Waterway,1186,,390.7584307908266,0.41686109396765386,0.3343298641305097,,,22.899595284486523,29.199824648222442,7.531652568461015,27.677072446412794,1.410723916353718
2,329,Residue Management (No-Till),851,,,,,,,915.9818869186238,520.5345993205316,83.27558576132135,8.259604026671475,0.6705737586436787
2,412,Grassed Waterway,2039,,704.0096799113578,0.7510375265294366,0.3192542817571668,,,88.34077426767469,872.371320562843,197.8934251148222,9.825469107522409,1.4768587144937515
2,412,Grassed Waterway,1626,,403.85657844042987,0.4308341978802507,0.3739024209112849,,,56.20204698536602,86.23740770456459,18.221448808502725,174.53415248064255,32.70975803625076
2,329,Residue Management (No-Till),1808,,,,,,,413.2396807889917,1416.8891347862864,139.24630819039982,205.50759426567117,38.83275744274757
2,590,Nutrient Management,427,,,,,,,1832.7716138347305,902.303471276821,190.90541128014237,110.6766280145197,5.538706992742318
2,590,Nutrient Management,1176,,,,,,,622.4993543667892,32.74509787922101,10.857342808597092,3.089439636899846,0.7450430328980904
2,590,Nutrient Management,2354,,,,,,,906.4106542248106,224.71534512011633,44.78540850610122,4.862837089560676,0.5005368040654623
2,329,Residue Management (No-Till),2000,,,,,,,1037.8968758469935,207.77007067300485,22.29771192491634,42.850234397083625,6.216717508186595
