scenario,cps,cps_name,pid,impacted_pids,linear_length_m,buffer_area_ha,portion_treated,wetland_area_ha,catchment_to_wetland_ratio,failed,cost_usd,treated_TN,removed_TN,treated_TP,removed_TP
5,329,Residue Management (No-Till),2226,,,,,,,False,1058.0128408576554,487.66459307335333,27.99343805291415,39.33550463669503,6.950051442396211
5,329,Residue Management (No-Till),1906,,,,,,,True,587.8180403396991,390.52640841774473,10.573220765301937,209.40243792593577,11.466911733644885
5,329,Residue Management (No-Till),795,,,,,,,False,182.65635167814324,232.0637700068799,22.11975803594832,1.701803873320052,0.27073664016174365
5,590,Nutrient Management,2215,,,,,,,False,617.099431792719,2285.8923181492705,730.70312216796,42.22336441976588,8.870279970011532
5,329,Residue Management (No-Till),938,,,,,,,False,1.1750212066792585,0.3201976159062116,0.028397719873838663,0.05386382736528878,0.008472144247962264
5,329,Residue Management (No-Till),1219,,,,,,,False,285.15593092147725,61.055270873294646,3.5898998906867075,24.23952385162899,3.9218494178464307
5,340,Cover Crop,229,,,,,,,False,772.729883990396,247.45687660625202,80.2978496590265,12.901454651331411,1.444848414689612
5,329,Residue Management (No-Till),351,,,,,,,True,318.0531212838146,240.18039720690388,6.341961119353662,3.2290335324620427,0.13584078259448454
5,340,Cover Crop,2137,,,,,,,False,3479.131086641856,505.3468400986422,200.8869421914033,80.44442772945322,12.773229230244526
5,329,Residue Management (No-Till),1822,,,,,,,True,640.5214975183583,860.7013796171093,11.536541268677547,195.96877345155576,5.53869372135252
5,329,Residue Management (No-Till),604,,,,,,,False,524.4892658430765,19.266774562240162,1.94838991938473,27.886555707764426,4.45590876570915
5,590,Nutrient Management,1407,,,,,,,False,2176.76255205154,3786.5817993975766,1311.4216192584815,471.0316140752586,93.39293509884408
5,340,Cover Crop,2201,,,,,,,False,4300.511447494695,673.3670111737097,253.08969314492387,98.82148397019917,13.39512276120042
5,329,Residue Management (No-Till),2243,,,,,,,True,89.27006086213773,64.14950490774805,1.9034912137691111,7.2109191480358685,0.3228348413038616
5,590,Nutrient Management,2621,,,,,,,False,1385.9374472832017,1293.6025092203936,442.6251559730211,21.533144629328078,6.009062535327874
5,340,Cover Crop,734,,,,,,,False,1432.9352024414168,206.5201162369826,87.76302366797614,18.108761817224988,4.895710587751163
5,340,Cover Crop,2026,,,,,,,False,2458.240797750269,257.72730525649365,104.38212747761744,0.5084259559568465,0.07457674709100577
5,340,Cover Crop,620,,,,,,,False,9661.388686175853,1014.0101092688628,252.4603207459466,73.15710594405215,15.002585060552319
5,329,Residue Management (No-Till),762,,,,,,,False,1134.710989633625,819.5791760155594,55.739264241349815,7.957563043012644,0.9733882453523006
5,329,Residue Management (No-Till),1624,,,,,,,False,1258.388825630517,97.22352778747896,9.368323224450023,25.93824966374129,5.268886666023896
5,590,Nutrient Management,743,,,,,,,True,1670.270013994924,1221.363123020679,66.0985293772165,19.049687823577877,1.2749393260788047
5,340,Cover Crop,387,,,,,,,False,3144.756034071271,516.3222464119849,224.92042912187011,28.268260942942582,5.327715182740937
5,329,Residue Management (No-Till),1666,,,,,,,False,586.8600040398827,214.43698825057575,15.83751458570178,44.55721371010708,6.681655347029314
5,590,Nutrient Management,1227,,,,,,,True,2001.3275125957887,1396.0423431263557,141.10862969288783,21.65362245791635,1.5670865004976924
5,340,Cover Crop,829,,,,,,,False,5198.12411715027,564.3805555578728,186.43904881813592,131.05940424221507,23.885043365472132
5,590,Nutrient Management,367,,,,,,,False,4009.596911861794,1746.5998335043876,604.07930874294,830.5836971998941,283.2864111534452
5,329,Residue Management (No-Till),1768,,,,,,,False,534.6967991389922,81.2881174040004,5.9076251166075915,7.1698851136299275,1.6804643262972758
5,329,Residue Management (No-Till),1287,,,,,,,False,891.4127284195076,773.753125607688,68.11867744210444,374.7856578337051,62.81364043413436
5,329,Residue Management (No-Till),105,,,,,,,True,837.6180966646602,380.2690049820644,6.193153323262965,30.520129057431998,1.4129557199859026
5,329,Residue Management (No-Till),1913,,,,,,,False,311.5221793570969,858.5990243688259,67.89860557602364,0.40912869798272067,0.05240697540916944
5,329,Residue Management (No-Till),1382,,,,,,,False,897.1849265596018,450.6226611589767,33.90246543585242,126.15273410622554,21.817325295282235
5,590,Nutrient Management,697,,,,,,,False,297.98349403138064,65.88305723445777,22.359247039229416,3.0453224840382007,0.8709459062583192
5,656,Constructed Wetland,2675,,,,,0.2945709941500676,4.533690606622075,False,16978.741792352543,71.57144845275505,23.393981358873713,0.19521438535049493,0.042595289494758715
5,590,Nutrient Management,536,,,,,,,False,692.909373028112,349.87382283635225,130.27063241599748,31.9758456221105,9.681165669282445
5,590,Nutrient Management,328,,,,,,,True,1845.5712802404926,1404.3323965793975,118.14791987811276,129.97287036174023,8.655795810251028
5,590,Nutrient Management,1498,,,,,,,False,941.7673931007647,412.36701242737723,158.50503153830502,11.173944334055193,3.4355047535065073
5,329,Residue Management (No-Till),476,,,,,,,False,612.4047287948933,302.5492185363189,34.37712467916703,17.601675371380384,3.466195088731632
5,329,Residue Management (No-Till),1351,,,,,,,True,1150.6492755302816,2346.782492140584,68.1025997330894,17.879419827290818,0.9097441667016541
5,329,Residue Management (No-Till),2538,,,,,,,False,507.3969826112571,232.99944670159218,29.426157359573835,50.4360052199393,11.389950464306773
5,329,Residue Management (No-Till),612,,,,,,,False,1012.1458930047771,681.586589691626,62.81203132593704,2.4545463376439645,0.5474863677184606
5,340,Cover Crop,1251,,,,,,,False,3602.4727993003785,752.0716827851637,347.08598019835324,22.675309980955525,3.820229345623376
5,590,Nutrient Management,2082,,,,,,,False,370.69292478583884,33.009617096825494,10.707516314559332,12.976652795513345,3.3169478949451876
5,340,Cover Crop,26,,,,,,,True,23.725834836129483,5.416921965808783,0.43483111890462334,0.3300267957832509,0.018090975987626486
5,590,Nutrient Management,794,,,,,,,False,1352.6454923699969,829.5298396297161,280.23668102152675,9.663867028456465,2.6971250134946287
5,329,Residue Management (No-Till),1279,,,,,,,False,725.2531098784193,1063.6876688057605,54.08039480268948,10.140479385442232,2.346316579989984
5,590,Nutrient Management,1758,,,,,,,True,1164.7040177755216,388.45031447732595,35.77903912582835,15.867882204915535,1.002502233865781
