field,s1-All CPS,s1-Constructed Wetland(656),s1-Cover Crop(340),s1-Grassed Waterway(412),s1-Nutrient Management(590),s1-Residue Management (No-Till)(329),s2-All CPS,s2-Constructed Wetland(656),s2-Cover Crop(340),s2-Nutrient Management(590),s2-Residue Management (No-Till)(329),s3-All CPS,s3-Constructed Wetland(656),s3-Cover Crop(340),s3-Grassed Waterway(412),s3-Nutrient Management(590),s3-Residue Management (No-Till)(329),s4-All CPS,s4-Constructed Wetland(656),s4-Cover Crop(340),s4-Grassed Waterway(412),s4-Nutrient Management(590),s4-Residue Management (No-Till)(329),s5-All CPS,s5-Constructed Wetland(656),s5-Cover Crop(340),s5-Nutrient Management(590),s5-Residue Management (No-Till)(329)
removed_TN_p25,15.50000538889681,5.184361717296896,32.76157748390935,56.404086715503944,37.914460192248285,9.991950530616935,15.274713546335581,12.145170186704993,31.309432027360053,27.144867655557643,8.967239476183524,12.839914567183172,13.506454237401133,29.541394653495693,16.177457825123714,33.199687644748366,7.248600059835007,14.235168999063973,14.575996104657742,30.697845802566206,0.7302993699794086,32.415895985512385,7.88304395844391,14.385009287512492,20.614139948997806,33.02720715197626,29.859883463167773,7.412312920091078
removed_TN_p50,42.8549735055517,7.609316575063632,88.62900166797058,56.404086715503944,104.10315548059981,22.21534855179327,39.86965298051197,24.98242138203755,88.40546549176662,85.5363765689386,22.69762166971141,43.621069523403136,43.82864354909573,82.00693162525815,16.177457825123714,92.19486365884529,19.7019704193924,39.81496777497061,26.315847389626697,100.25774270508253,0.7302993699794086,82.94816579778589,20.724296866751516,43.616370926114186,23.18807392727464,88.13851379192798,79.86762663432168,22.468055313031144
removed_TN_p75,124.4043460110772,9.621062881202647,176.72886414310247,56.404086715503944,204.7668768376805,45.61195506995771,116.88316891073102,31.579608765385615,205.68367351810136,200.25107631194015,45.850017264689455,121.85738367581789,46.69499520370613,202.46986217910012,16.177457825123714,212.06744575211604,53.55196661812074,122.02851915699043,29.61092054359667,232.88780573369547,0.7302993699794086,220.6628598591206,48.79507804420992,130.37092178298263,380.8692965199141,249.03857393735836,253.53743932201758,53.85316283427595
removed_TN_std,181.08897061348634,4.44311050806175,204.4129801709152,,237.23085999241815,80.17258478221395,215.15244530147086,50.04017837519728,229.77335124271028,299.7861981542112,84.61058961087177,283.61104941232554,25.945089721064647,278.68001556191183,,414.3191291542809,115.11415864529734,273.9121399714285,184.40742696071698,420.08326908761234,,323.33586835744484,83.17880317578152,278.2126658738997,716.6811274239127,353.34154241427035,350.6156659765384,128.11857172208502
removed_TP_count,1000,3,196,1,316,484,1000,8,209,310,473,1000,5,191,1,310,493,1000,11,185,1,307,496,1000,4,186,308,502
removed_TP_max,297.63681938056857,1.081328625720069,100.75981715891002,0.5067677494501297,190.88619986071302,297.63681938056857,195.36913801541564,10.117809895734087,108.1130564255508,177.80646080119945,195.36913801541564,420.85811378795387,2.246901414276935,102.13966994288866,2.4778645014575753,242.12556031597938,420.85811378795387,274.06093009167034,15.523923419108486,220.26453792812845,1.7111467664169753,274.06093009167034,221.1578366938828,386.68050801554483,32.880118026169754,386.68050801554483,366.5300976823242,237.02132661143477
removed_TP_mean,8.409899140252197,0.4541989615227049,6.1628644565755435,0.5067677494501297,10.713460635948914,7.881518142912219,9.16028216834477,3.141780626339443,8.165543806870774,10.768080457224926,8.64787383923538,9.030266053464075,1.198341182921455,6.5301913828063345,2.4778645014575753,11.07580375249651,8.805336238657366,8.692531391269013,4.087055845065667,9.139084023305843,1.7111467664169753,10.646657760492536,7.4326777286775885,11.286965809002805,9.179178955146373,9.373589433350356,14.868747785199075,9.81511382617079
removed_TP_min,0.00011968352122205053,0.07795775887727216,0.00011968352122205053,0.5067677494501297,0.0007640671287037242,0.004931413069320951,5.133595338362688e-05,0.04554389348418407,0.0008124136099781807,0.006258736755680771,5.133595338362688e-05,4.819338431827113e-05,0.11735353359872726,0.0035189562488383364,2.4778645014575753,0.0017710122534479635,4.819338431827113e-05,0.0005084960205747167,0.03889474738572588,0.009134114502387011,1.7111467664169753,0.00668991809541191,0.0005084960205747167,4.298658867145813e-06,0.042595289494758715,0.0012658234674207038,4.298658867145813e-06,0.0019994719023102136
removed_TP_p25,0.8598817113459433,0.14063412942402292,0.7165124357661439,0.5067677494501297,1.08246541963928,0.8509305843816103,0.7504963939864289,0.5007555980025207,0.7184141632235249,1.1210681200795323,0.6916159586323065,0.9800115755244945,0.9033233645322988,0.8220505172195138,2.4778645014575753,1.4338315384505413,0.8637502317976175,0.8899910741089189,0.5185525618671687,1.095493930838525,1.7111467664169753,1.0089148137123112,0.8011486687795425,0.885022750303261,0.4799614032231159,0.9844949309391087,1.1265958478864857,0.7785165047214082
removed_TP_p50,2.7199513951810785,0.20331049997077366,1.9969590231076815,0.5067677494501297,3.3453356824947393,2.7487560426891737,2.6560911746508378,1.1467601362271795,2.458965119242943,3.791014627007195,2.429815865256517,2.8106775516524367,1.2581532241398068,2.4041472224879974,2.4778645014575753,3.7444571719330786,2.61345359906647,2.9461227420774456,2.2540786885447064,3.287572128168607,1.7111467664169753,4.1525262639633125,2.389543099412176,3.0750865295698104,1.89700125246049,2.702465688984711,3.8928430419237747,2.653762685779685
removed_TP_p75,8.059922509348416,0.6423195628454212,6.217404020510213,0.5067677494501297,11.15711479050512,7.080822984139467,8.52984549229866,4.984702721260621,8.04869536307913,11.828596172175935,7.658446283538949,8.628309526216368,1.4659743780595071,6.6249569676795925,2.4778645014575753,9.275381674410246,8.6218706561137,8.871985974548634,3.7118371101199177,9.597506640041109,1.7111467664169753,11.596115263732884,6.727169078886933,9.496081451146424,10.596218804383748,7.319676815306321,12.9804641336192,9.14265426312059
removed_TP_std,18.3435274157708,0.5467147695207598,12.030528248223263,,20.220600259694887,19.09310554854418,19.3256443190084,3.8880800659718893,14.463411984942072,20.872923246312947,20.24441376731491,22.55886908552477,0.7794634977582562,12.34319924891535,,25.231739384212815,23.84981819363296,19.935637164840486,5.634995332570454,19.70567145673889,,22.311436362229824,18.567899004687042,29.640305262861748,15.858794164547007,31.153887675759137,38.923754409970364,21.262523902850173
scenario,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5
