2026-05-18 10:54:53,489 [DEBUG] Logger initialized
2026-05-18 10:54:53,489 [INFO] Starting model run
2026-05-18 10:54:53,489 [INFO] Config: C:\Users\GEVENSON\Data\bmp\basin-bmp-sim\examples\east_fork.yaml
2026-05-18 10:54:53,489 [INFO] Logging to: outputs\log_20260518_105453.txt
2026-05-18 10:54:53,856 [DEBUG] Sampled value 0.522087 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,857 [DEBUG] Sampled value 293.462 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,858 [DEBUG] Sampled value 19.9455 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,859 [DEBUG] Sampled value 3.23099 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,860 [DEBUG] Sampled value 290.365 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:53,863 [DEBUG] Sampled value 0.0919391 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,864 [DEBUG] Sampled value 0.084359 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,865 [DEBUG] Sampled value 0.301042 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,866 [DEBUG] Sampled value 33.5548 from stats={'min': np.int64(10), 'max': np.int64(60), 'mean': np.int64(35), 'p50': np.int64(35)} kind=None low=None high=None
2026-05-18 10:54:53,887 [DEBUG] Sampled value 0.280831 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
